,mismatch
0,44.70187817809462
1,44.82744908546854
2,44.35466434912021
3,43.87737116720586
4,43.51985644218816
5,43.2335763114489
6,42.77021460177486
7,42.43335118068112
8,42.188405983404564
9,41.84749898071681
10,41.56533179922574
11,41.34411370034684
12,41.153304631225026
13,40.77703376739281
14,40.15738237376077
15,39.39364381683209
16,38.613166500520315
17,38.03087893467651
18,37.35569986086192
19,36.29659321664245
20,35.295435595802495
21,34.28239951977336
22,32.310126106425244
23,30.475071439985122
24,28.447987692442148
25,26.496348047396136
26,24.601239314819736
27,22.528444296110216
28,20.16183063148953
29,17.61275278013608
30,15.406340840878636
31,12.997914548375554
32,11.052650744516678
33,9.493528146384858
34,8.228263304490346
35,6.916308658098511
36,5.662485000634338
37,4.7476707400249145
38,4.118300567719874
39,3.6860415285690413
40,3.3466905009265413
41,3.00806817106752
42,2.6598520429270525
43,2.2766147430889
44,1.8794745608314298
45,1.5002138901580755
46,1.1617191218674077
47,0.8789083185707895
48,0.6416286058143873
49,0.4503998147358596
50,0.30250892407596924
51,0.19543916362363792
52,0.12278235244611839
53,0.08008251733946803
54,0.06299478275093813
55,0.059902986390020924
56,0.06005257057012006
57,0.05939326839260931
58,0.05680794560955563
59,0.05132728521904323
60,0.043938841546090984
61,0.036104385380086465
62,0.028631830738489652
63,0.02197738509742744
64,0.016346879034218966
65,0.011780216311117846
66,0.008215879958306905
67,0.005540030471886834
68,0.0036200385899111485
69,0.0023272364405500312
70,0.0015446558092220475
71,0.0011478135586331342
72,0.0009772227860491837
73,0.0008873931161490047
74,0.0008049966824558092
75,0.0007113271418119268
76,0.0006090601817734048
77,0.0005059834603868732
78,0.0004088308499555168
79,0.0003221316468336524
80,0.000248023072562691
81,0.0001870994729556597
82,0.00013875843088473677
83,0.00010162601893481879
84,7.405768536238844e-05
85,5.42724534590393e-05
86,4.055421508034673e-05
87,3.1256106588348526e-05
88,2.4862537558003207e-05
89,2.0029919923558174e-05
90,1.6414758984518937e-05
91,1.3217850279978635e-05
92,1.0875501230907003e-05
93,8.823128045136716e-06
94,7.095662153204915e-06
95,5.680176086994912e-06
96,4.823955140097308e-06
97,4.308859865500855e-06
98,2.853222769641798e-06
99,2.1770311766571198e-06
